task_id,phase,category,title,description,dependencies,priority,effort_days,prd_refs,gap_refs,status
T001,0-Setup,Project Setup,Clone Krayin Laravel CRM repository,Clone https://github.com/krayin/laravel-crm (branch 2.1) into the project workspace. This is the foundation for all subsequent work.,,CRITICAL,0.5,,,Done
T002,0-Setup,Project Setup,Set up Docker Compose for local development,"Create docker-compose.yml with PHP 8.1+ (Laravel), MySQL 8.0, Redis, Nginx, and Mailpit (for email testing). Ensure the Krayin installer runs on first boot. Include volume mounts for hot-reload development. Reference docs/ARCHITECTURE.md for stack details.",T001,CRITICAL,1,,,Done
T003,0-Setup,Project Setup,Verify base Krayin CRM runs in Docker,"Run docker compose up, complete the web installer, verify login works, dashboard loads, and all existing modules (leads, contacts, activities, pipelines, email, quotes, products, warehouses, web forms) function correctly.",T002,CRITICAL,0.5,,,Done
T004,0-Setup,Project Setup,Set up Playwright E2E test framework,"Install Playwright, configure it to run against the Docker-hosted CRM. Create base test utilities: login helper, navigation helpers, API helpers for seeding test data. Create a smoke test that logs in and verifies dashboard loads.",T003,CRITICAL,1,,,Done
T005,0-Setup,Project Setup,Write baseline Playwright smoke tests for existing features,"Write E2E tests verifying all existing Krayin functionality works: create/edit/delete contact, create/edit/delete lead, Kanban board drag-drop, create activity, send email, create quote, create product, web form submission, tag management, user/role management. These serve as regression tests.",T004,CRITICAL,3,,,Done
T006,0-Setup,Project Setup,Create docs directory structure,"Create docs/ folder with ARCHITECTURE.md, MOBILE_APP_PLAN.md, BROWSER_EXTENSION_PLAN.md, and any other planning docs. Keep all markdown documentation out of the repo root.",T001,LOW,0.25,,,Done
T007,1-WhiteLabel,White Label,Design white-label database schema,"Create migration for white_label_settings table: app_name, logo_url, logo_dark_url, favicon_url, primary_color, secondary_color, accent_color, email_sender_name, support_url, login_bg_image, custom_css. Seed with default values.",T003,HIGH,0.5,,,Done
T008,1-WhiteLabel,White Label,Build WhiteLabel Laravel package,"Create packages/Webkul/WhiteLabel/ following Krayin's package pattern (Provider, Config, Models, Repositories, Routes). Build admin settings page for uploading logo, favicon, and configuring colors/app name.",T007,HIGH,2,,,Done
T009,1-WhiteLabel,White Label,Implement CSS custom properties theming system,"Replace hardcoded brand colors throughout Krayin's Vue.js frontend with CSS custom properties (--primary-color, --secondary-color, etc.) driven by white_label_settings database values. Update login page, sidebar, header, buttons.",T008,HIGH,2,,,Done
T010,1-WhiteLabel,White Label,Make email templates brandable,"Update all email templates (workflow emails, notification emails) to use white-label settings: app name, logo, colors. Create a base email layout that reads from white_label_settings.",T008,MEDIUM,1,,,Done
T011,1-WhiteLabel,White Label,Write Playwright tests for white-label features,Test: change app name and verify it appears in header/title. Upload custom logo and verify it renders. Change primary color and verify CSS updates. Verify login page shows custom branding.,T009,HIGH,1,,,Done
T012,2-Foundation,Public REST API,Design and document public REST API,"Create OpenAPI/Swagger spec for all public API endpoints: auth, contacts, leads, deals, pipelines, activities, tags, users, emails, action-stream, notifications. Use Laravel Sanctum for token auth. Reference docs/ARCHITECTURE.md for endpoint design.",T003,CRITICAL,2,,GAP 20,Done
T013,2-Foundation,Public REST API,Build PublicApi Laravel package — authentication,"Create packages/Webkul/PublicApi/. Implement token-based auth with Laravel Sanctum: login, logout, token refresh, token scoping. Rate limiting middleware.",T012,CRITICAL,2,,GAP 20,Done
T014,2-Foundation,Public REST API,Build PublicApi — contacts endpoints,"CRUD endpoints for persons and organizations: list (paginated, filterable, searchable), get, create, update, delete. Include custom attributes, tags, and related entities.",T013,CRITICAL,2,,GAP 20,Done
T015,2-Foundation,Public REST API,Build PublicApi — leads/deals endpoints,"CRUD endpoints for leads: list (paginated, filterable), get, create, update, delete, stage transitions. Include pipeline association, products, quotes linkage.",T013,CRITICAL,1.5,,GAP 20,Done
T016,2-Foundation,Public REST API,Build PublicApi — activities endpoints,"CRUD endpoints for activities: list, get, create, update, delete. Filter by type (call, meeting, task, note). Include participants and file attachments.",T013,CRITICAL,1,,GAP 20,Done
T017,2-Foundation,Public REST API,Build PublicApi — pipelines and tags endpoints,Read endpoints for pipelines/stages and full CRUD for tags. Needed by mobile app and browser extension.,T013,HIGH,1,,GAP 20,Done
T018,2-Foundation,Public REST API,Build PublicApi — email endpoints,"Endpoints for email: list inbox/sent/drafts, get thread, send, reply, forward. Needed by mobile app.",T013,HIGH,1.5,,GAP 20,Done
T019,2-Foundation,Public REST API,Write Playwright API tests for all public endpoints,"Comprehensive API tests using Playwright's request context: test every endpoint for success, validation errors, auth failures, pagination, filtering. Test rate limiting.",T014;T015;T016;T017;T018,CRITICAL,3,,GAP 20,Done
T020,2-Foundation,Real-Time Infrastructure,Set up Laravel WebSockets / Soketi,Install and configure WebSocket server (Soketi or laravel-websockets). Add to Docker Compose. Configure Laravel broadcasting with Pusher driver pointing to local WebSocket server.,T002,HIGH,1.5,,,Done
T021,2-Foundation,Real-Time Infrastructure,Implement WebSocket channels and events,"Create broadcast events for: notification received, contact updated, lead stage changed, email received, action stream updated. Create private channels per user and presence channels per team.",T020,HIGH,1.5,,,Done
T022,2-Foundation,Real-Time Infrastructure,Add Vue.js WebSocket client,"Integrate Laravel Echo into the Vue.js frontend. Listen for real-time events and update UI reactively (notifications badge, action stream refresh, contact updates).",T021,HIGH,1,,,Done
T023,3-ActionStream,Action Stream,Design Next Action data model,"Create migration for next_actions table: id, actionable_type (person/lead), actionable_id, user_id, action_type (call/email/meeting/task/custom), description, due_date, due_time, priority (urgent/high/normal/low), status (pending/completed/snoozed), completed_at, snoozed_until. Add indexes for efficient querying.",T003,CRITICAL,0.5,AS-001;AS-002,GAP 1,Done
T024,3-ActionStream,Action Stream,Build ActionStream Laravel package — models and repositories,"Create packages/Webkul/ActionStream/ with NextAction model, repository, and service layer. Business logic: creating next actions, completing them (auto-suggest next), snoozing, priority sorting, overdue detection.",T023,CRITICAL,2,AS-001;AS-002,GAP 1,Done
T025,3-ActionStream,Action Stream,Build Action Stream API endpoints,"Add action-stream endpoints to PublicApi: GET /action-stream (prioritized list), POST /action-stream (create), PUT /action-stream/{id} (update/complete/snooze), DELETE /action-stream/{id}. Include filtering by user, date range, priority.",T024;T013,CRITICAL,1.5,AS-001;AS-002,GAP 1,Done
T026,3-ActionStream,Action Stream,Build Action Stream Vue.js UI — main view,"Create the Action Stream page as a new top-level navigation item. Show prioritized list of next actions with: contact name, action type icon, description, due date, priority color coding. Sortable by due date, priority. Filterable by type, assignee.",T024,CRITICAL,3,AS-001;AS-002;AS-003,GAP 1,Done
T027,3-ActionStream,Action Stream,Implement color-coded priority system,"Visual urgency indicators: red (overdue), orange (due today), yellow (due this week), green (upcoming), gray (no due date). Apply to Action Stream items, contact views, and deal views.",T026,HIGH,1,AS-003,GAP 1,Done
T028,3-ActionStream,Action Stream,Add Next Action widget to contact detail view,"On the person/lead detail page, show the current Next Action prominently at top. Allow completing it and immediately setting a new one. Show action history timeline.",T024;T026,CRITICAL,1.5,AS-002,GAP 1,Done
